
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004094                       # Number of seconds simulated (Second)
simTicks                                   4094436500                       # Number of ticks simulated (Tick)
finalTick                                  4094436500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     72.56                       # Real time elapsed on the host (Second)
hostTickRate                                 56425942                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                  405000752                       # Number of bytes of host memory used (Byte)
simInsts                                     24731018                       # Number of instructions simulated (Count)
simOps                                       39637984                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   340821                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     546256                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          8188874                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.331118                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               3.020076                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        39659950                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      168                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       39654931                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    118                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                22128                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             30393                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  96                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             8142787                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.869946                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.771292                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     78210      0.96%      0.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      9592      0.12%      1.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1008273     12.38%     13.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    411491      5.05%     18.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1809033     22.22%     40.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1807604     22.20%     62.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2011310     24.70%     87.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      5884      0.07%     87.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1001390     12.30%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               8142787                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  807864     99.98%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.98% # attempts to use FU when none available (Count)
