
---------- Begin Simulation Statistics ----------
simSeconds                                   0.039082                       # Number of seconds simulated (Second)
simTicks                                  39081868500                       # Number of ticks simulated (Tick)
finalTick                                 39081868500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    207.71                       # Real time elapsed on the host (Second)
hostTickRate                                188155362                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                  405006640                       # Number of bytes of host memory used (Byte)
simInsts                                     48293636                       # Number of instructions simulated (Count)
simOps                                       78526201                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   232504                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     378055                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         78163738                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.618510                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.617852                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        78555374                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      270                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       78549511                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    198                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                29437                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             39243                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 126                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            78116968                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.005537                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.800240                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  21048642     26.95%     26.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  38826445     49.70%     76.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  15248523     19.52%     96.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2897114      3.71%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     25318      0.03%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     20933      0.03%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     27410      0.04%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     16383      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      6200      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              78116968                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   26413     98.63%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     98.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     36      0.13%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     98.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     98.76% # attempts to use FU when none available (Count)
